ProteinID	GOs	#GOs	#A6P6V9	#F4HUK6	#Q8GTB6	#B1Q2B6	#I6WU39
NP_191825.2	GO:0016740	1	0	0	0	1	0
NP_189372.1	GO:0005576	1	0	0	1	0	0
NP_201162.1	GO:0003824|GO:0048046	2	0	0	1	1	0
NP_201037.1	GO:0016740|GO:0046872	2	0	0	0	1	1
NP_174447.2	GO:0005737	1	0	0	0	0	1
NP_001320124.1	GO:0046872|GO:0016491|GO:0055114|GO:0005576	4	0	0	3	0	1
NP_192886.1	GO:0016740	1	0	0	0	1	0
NP_564057.4	GO:0016740	1	0	0	0	1	0
NP_001324497.1	GO:0046872|GO:0003824	2	0	0	0	1	1
NP_197668.2	GO:0046872	1	0	0	0	0	1
NP_027726.1	GO:0005737	1	0	0	0	0	1
NP_197761.2	GO:0005737	1	0	0	0	0	1
NP_195371.1	GO:0003824	1	0	0	0	1	0
NP_171860.1	GO:0016491|GO:0055114|GO:0005576	3	0	0	3	0	0
NP_175851.1	GO:0046872|GO:0005737	2	0	0	0	0	2
NP_196325.1	GO:0016740|GO:0016747	2	0	0	0	2	0
NP_187023.1	GO:0005737	1	0	0	0	0	1
NP_051054.1	GO:0046872|GO:0016491|GO:0055114	3	0	0	2	0	1
NP_198084.1	GO:0005737	1	0	0	0	0	1
NP_188316.1	GO:0003824|GO:0016874|GO:0005777|GO:0006629|GO:0006631	5	0	4	0	1	0
NP_051067.1	GO:0046872|GO:0016491|GO:0016829|GO:0055114|GO:0048046	5	0	0	3	0	2
NP_001322986.1	GO:0016740	1	0	0	0	1	0
NP_178330.1	GO:0016740|GO:0016829	2	0	0	0	1	1
NP_671807.1	GO:0055114	1	0	0	1	0	0
NP_180123.1	GO:0005737	1	0	0	0	0	1
NP_190812.1	GO:0046872	1	0	0	0	0	1
NP_174567.1	GO:0016740|GO:0016747	2	0	0	0	2	0
NP_172500.1	GO:0005737|GO:0005576	2	0	0	1	0	1
NP_178020.1	GO:0016740|GO:0016747	2	0	0	0	2	0
NP_051058.1	GO:0046872|GO:0016491|GO:0055114	3	0	0	2	0	1
NP_180087.1	GO:0016740|GO:0016746|GO:0016747	3	0	0	0	3	0
NP_001319858.1	GO:0016874|GO:0005737	2	0	1	0	0	1
NP_001329809.1	GO:0016740|GO:0003824|GO:0005737	3	0	0	0	2	1
NP_001078201.1	GO:0016740	1	0	0	0	1	0
NP_001078599.1	GO:0016740|GO:0046872|GO:0005777|GO:0005737|GO:0048046|GO:0005576	6	0	1	2	1	2
NP_001332009.1	GO:0046872	1	0	0	0	0	1
NP_179903.1	GO:0046872|GO:0016491|GO:0055114	3	0	0	2	0	1
NP_566193.2	GO:0005737	1	0	0	0	0	1
NP_680598.2	GO:0005737|GO:0046872	2	0	0	0	0	2
NP_051039.1	GO:0046872|GO:0016491|GO:0055114	3	0	0	2	0	1
NP_174726.1	GO:0005737	1	0	0	0	0	1
NP_565129.1	GO:0016740	1	0	0	0	1	0
NP_051072.1	GO:0046872|GO:0055114	2	0	0	1	0	1
NP_001328700.1	GO:0016740|GO:0046872	2	0	0	0	1	1
NP_001321567.1	GO:0046872|GO:0003824	2	0	0	0	1	1
NP_201115.1	GO:0016740	1	0	0	0	1	0
NP_171612.1	GO:0046872|GO:0005737	2	0	0	0	0	2
NP_566201.1	GO:0006629	1	0	1	0	0	0
NP_001077693.1	GO:0055114	1	0	0	1	0	0
NP_566257.1	GO:0046872	1	0	0	0	0	1
NP_001078087.1	GO:0016740	1	0	0	0	1	0
NP_051099.1	GO:0016740	1	0	0	0	1	0
NP_177448.1	GO:0016829|GO:0050660|GO:0055114	3	0	0	2	0	1
NP_001319036.1	GO:0016740	1	0	0	0	1	0
NP_001318851.1	GO:0016740	1	0	0	0	1	0
NP_195557.2	GO:0005737	1	0	0	0	0	1
NP_051076.1	GO:0046872|GO:0055114	2	0	0	1	0	1
NP_051068.1	GO:0016740|GO:0046872|GO:0006629|GO:0006631	4	0	2	0	1	1
NP_172625.3	GO:0005576	1	0	0	1	0	0
NP_001190336.1	GO:0005737	1	0	0	0	0	1
NP_200457.1	GO:0016740	1	0	0	0	1	0
NP_191074.2	GO:0046872|GO:0016829	2	0	0	0	0	2
