Gene stable ID	Transcript stable ID	GO term accession	GO term name	RefSeq peptide ID
AT4G01600	AT4G01600.1			NP_001031570.1
AT4G01600	AT4G01600.2			NP_001031570.1
AT4G22540	AT4G22540.4			NP_001031698.1
AT4G22540	AT4G22540.1	GO:0032934	sterol binding	NP_001031698.1
AT4G22540	AT4G22540.1	GO:0015248	sterol transporter activity	NP_001031698.1
AT4G22540	AT4G22540.1	GO:0008289	lipid binding	NP_001031698.1
AT4G22540	AT4G22540.1	GO:0016020	membrane	NP_001031698.1
AT4G22540	AT4G22540.1	GO:0005829	cytosol	NP_001031698.1
AT4G22540	AT4G22540.1	GO:0043231	intracellular membrane-bounded organelle	NP_001031698.1
AT4G22540	AT4G22540.1	GO:0006869	lipid transport	NP_001031698.1
AT4G22540	AT4G22540.1	GO:0015918	sterol transport	NP_001031698.1
AT4G22540	AT4G22540.6			NP_001031698.1
AT4G22540	AT4G22540.3			NP_001031698.1
AT4G22540	AT4G22540.2			NP_001031698.1
AT4G22540	AT4G22540.5	GO:0032934	sterol binding	NP_001031698.1
AT4G22540	AT4G22540.5	GO:0015248	sterol transporter activity	NP_001031698.1
AT4G22540	AT4G22540.5	GO:0008289	lipid binding	NP_001031698.1
AT4G22540	AT4G22540.5	GO:0016020	membrane	NP_001031698.1
AT4G22540	AT4G22540.5	GO:0005829	cytosol	NP_001031698.1
AT4G22540	AT4G22540.5	GO:0043231	intracellular membrane-bounded organelle	NP_001031698.1
AT4G22540	AT4G22540.5	GO:0006869	lipid transport	NP_001031698.1
AT4G22540	AT4G22540.5	GO:0015918	sterol transport	NP_001031698.1
AT5G06043	AT5G06043.1	GO:0008150	biological_process	NP_001031841.1
AT5G06043	AT5G06043.1	GO:0003674	molecular_function	NP_001031841.1
AT5G51300	AT5G51300.3	GO:0003676	nucleic acid binding	NP_001032055.1
AT5G51300	AT5G51300.3	GO:0046872	metal ion binding	NP_001032055.1
AT5G51300	AT5G51300.3	GO:0005634	nucleus	NP_001032055.1
AT5G51300	AT5G51300.3	GO:0003723	RNA binding	NP_001032055.1
AT5G51300	AT5G51300.3	GO:0008270	zinc ion binding	NP_001032055.1
AT5G51300	AT5G51300.3	GO:0009737	response to abscisic acid	NP_001032055.1
AT5G51300	AT5G51300.3	GO:0005515	protein binding	NP_001032055.1
AT5G51300	AT5G51300.3	GO:0006397	mRNA processing	NP_001032055.1
AT5G51300	AT5G51300.3	GO:0000398	mRNA splicing, via spliceosome	NP_001032055.1
AT5G51300	AT5G51300.3	GO:0008380	RNA splicing	NP_001032055.1
AT5G51300	AT5G51300.3	GO:0005681	spliceosomal complex	NP_001032055.1
AT5G51300	AT5G51300.3	GO:0009738	abscisic acid-activated signaling pathway	NP_001032055.1
