ProteinID	GOs	#GOs	#A6P6V9	#F4HUK6	#Q8GTB6	#B1Q2B6	#I6WU39
O03042	GO:0046872|GO:0016491|GO:0016829|GO:0055114|GO:0048046	5	0	0	3	0	2
Q9SRV0	GO:0005737	1	0	0	0	0	1
O04319	GO:0005737	1	0	0	0	0	1
P56778	GO:0046872	1	0	0	0	0	1
P93313	GO:0055114	1	0	0	1	0	0
Q9C8N5	GO:0046872	1	0	0	0	0	1
Q8L4M6	GO:0046872	1	0	0	0	0	1
P53665	GO:0055114|GO:0006629|GO:0006631	3	0	2	1	0	0
Q9FXE4	GO:0046872|GO:0003824	2	0	0	0	1	1
P42799	GO:0003824|GO:0048046	2	0	0	1	1	0
Q9C9U3	GO:0046872|GO:0016491|GO:0055114|GO:0006629|GO:0006631	5	0	2	2	0	1
Q949Q1	GO:0016740	1	0	0	0	1	0
O23617	GO:0016740|GO:0003824|GO:0005737	3	0	0	0	2	1
P42792	GO:0046872|GO:0055114|GO:0016491	3	0	0	2	0	1
P93285	GO:0046872|GO:0016491|GO:0055114	3	0	0	2	0	1
O48741	GO:0016491|GO:0055114|GO:0005576	3	0	0	3	0	0
Q9T041	GO:0005737	1	0	0	0	0	1
Q9ZW21	GO:0046872|GO:0003824	2	0	0	0	1	1
Q9SU40	GO:0046872|GO:0055114|GO:0005576|GO:0016491|GO:0048046	5	0	0	4	0	1
Q9T0I1	GO:0016740	1	0	0	0	1	0
Q9SY84	GO:0016740	1	0	0	0	1	0
Q0WPF2	GO:0005737|GO:0046872	2	0	0	0	0	2
O50008	GO:0016740|GO:0046872|GO:0005777|GO:0005737|GO:0048046|GO:0005576	6	0	1	2	1	2
Q8GXX7	GO:0046872	1	0	0	0	0	1
Q9FFN7	GO:0016740|GO:0046872	2	0	0	0	1	1
F4JUU5	GO:0046872|GO:0005737	2	0	0	0	0	2
Q9LV04	GO:0005737	1	0	0	0	0	1
Q3EBQ3	GO:0046872	1	0	0	0	0	1
Q8RWZ3	GO:0016491|GO:0055114|GO:0050660|GO:0006629|GO:0006631|GO:0005777	6	0	3	3	0	0
Q39024	GO:0005737|GO:0016740	2	0	0	0	1	1
P56773	GO:0046872|GO:0055114|GO:0016491	3	0	0	2	0	1
Q6NPR7	GO:0016740|GO:0005737	2	0	0	0	1	1
Q8VZF1	GO:0003824|GO:0016874|GO:0005777|GO:0006629|GO:0006631	5	0	4	0	1	0
Q9SE83	GO:0005737|GO:0005576	2	0	0	1	0	1
P56761	GO:0046872|GO:0016491|GO:0055114	3	0	0	2	0	1
P56764	GO:0016740|GO:0046872	2	0	0	0	1	1
O81716	GO:0046872|GO:0003824	2	0	0	0	1	1
P56791	GO:0016740	1	0	0	0	1	0
Q5Q0E6	GO:0005737	1	0	0	0	0	1
Q42484	GO:0005737	1	0	0	0	0	1
Q9SYF5	GO:0005576|GO:0006629	2	0	1	1	0	0
P56771	GO:0046872|GO:0055114	2	0	0	1	0	1
Q9FE17	GO:0016740|GO:0046872	2	0	0	0	1	1
Q9CAA7	GO:0016740	1	0	0	0	1	0
Q9ZR08	GO:0016740	1	0	0	0	1	0
Q9M9Y4	GO:0016740|GO:0046872	2	0	0	0	1	1
P0C2F6	GO:0016740|GO:0046872	2	0	0	0	1	1
Q84P23	GO:0003824|GO:0016874|GO:0005777|GO:0006629|GO:0006631	5	0	4	0	1	0
Q9M039	GO:0046872|GO:0003824|GO:0016829	3	0	0	0	1	2
Q8GUM2	GO:0005737	1	0	0	0	0	1
P59226	GO:0005576	1	0	0	1	0	0
P56765	GO:0016740|GO:0046872|GO:0006629|GO:0006631	4	0	2	0	1	1
Q9LDM5	GO:0016740	1	0	0	0	1	0
Q8GUL1	GO:0005737	1	0	0	0	0	1
Q940G6	GO:0005737	1	0	0	0	0	1
Q949U4	GO:0016740	1	0	0	0	1	0
F4JQH3	GO:0046872|GO:0005737	2	0	0	0	0	2
