Query ID	 Blast best match ID
utg000001l.g1	P56791.1
utg000001l.g2	P56786.1
utg000001l.g3	Q9M9U0.1
utg000001l.g4	B5BT18.1
utg000001l.g6	Q9CAP4.1
utg000001l.g9	P42799.1
utg000001l.g11	Q9LPG3.1
utg000001l.g15	P56786.1
utg000001l.g18	P56786.1
utg000001l.g19	P56777.1
utg000001l.g20	P56777.1
utg000001l.g21	P56779.4
utg000001l.g22	P56771.1
utg000001l.g23	P56765.2
utg000001l.g24	O03042.1
utg000001l.g25	P19366.2
utg000001l.g26	P56767.1
utg000001l.g27	P56778.3
utg000001l.g28	P56761.3
utg000001l.g29	P50546.4
utg000001l.g30	P56764.1
utg000001l.g31	P56797.1
utg000001l.g32	P56757.1
utg000001l.g33	P83755.2
utg000001l.g34	P56791.1
utg000001l.g35	P56786.1
utg000001l.g36	P56786.1
utg000001l.g37	Q39231.2
utg000002l.g40	Q9T041.2
utg000002l.g41	Q9T041.2
utg000002l.g42	Q9ZT84.2
utg000002l.g45	O04313.1
utg000002l.g46	Q9ZUI3.2
utg000002l.g49	Q38884.2
utg000002l.g51	Q9FM85.1
utg000002l.g52	Q9FFN7.1
utg000002l.g54	Q9C9U7.1
utg000003l.g58	Q9ZUG4.2
utg000003l.g59	Q9FI70.1
utg000003l.g60	Q949U4.1
utg000004c.g61	Q9FG24.1
utg000004c.g62	Q949Q1.1
utg000004c.g63	Q9C9U3.1
utg000004c.g66	Q8GUM2.1
utg000005l.g68	Q8GUL1.1
utg000007c.g73	Q9SAB0.1
utg000008l.g77	F4JYC8.1
utg000008l.g78	P53665.1
utg000008l.g82	Q9LTX9.1
utg000008l.g83	O80475.1
utg000008l.g88	Q9SAH7.1
utg000009l.g90	Q6DUW7.1
utg000009l.g92	Q9FE17.1
utg000009l.g93	Q9T0I1.1
utg000010c.g94	Q9LS02.1
utg000010c.g95	F4J8G7.1
utg000010c.g97	Q9C9U7.1
utg000012l.g100	Q8VYZ2.1
utg000013c.g101	Q9LX73.1
utg000013c.g104	Q84P23.2
utg000013c.g105	Q3B724.1
utg000013c.g106	Q95747.3
utg000013c.g108	P93306.2
utg000013c.g110	P93306.2
utg000013c.g112	F4IK45.1
utg000013c.g113	F4JQH3.1
utg000013c.g114	Q9SP32.2
utg000013c.g116	Q9LFC0.1
utg000013c.g120	Q9M1P7.1
utg000013c.g121	P93311.1
utg000013c.g123	O48741.1
utg000013c.g124	P56791.1
utg000013c.g125	Q95749.3
utg000013c.g126	Q95747.3
utg000013c.g127	P93286.2
utg000013c.g129	P93286.2
utg000013c.g130	Q94HW2.1
utg000013c.g135	Q8RXS6.2
utg000013c.g136	P92532.2
utg000013c.g141	P19366.2
utg000013c.g143	O04034.1
utg000013c.g144	P42792.2
utg000013c.g150	Q9ZT94.1
utg000013c.g151	Q9M9Y4.2
utg000013c.g152	Q9SE83.2
utg000013c.g154	Q9LU44.1
utg000013c.g159	Q8GXX7.1
utg000013c.g162	Q9SN21.2
utg000013c.g163	Q9C8N5.1
utg000013c.g166	P92520.1
utg000013c.g167	Q9S9Z2.1
utg000013c.g170	P29388.3
utg000013c.g173	Q9SZB9.2
utg000013c.g174	Q9M1D8.1
utg000013c.g177	P92558.4
utg000013c.g179	Q9SYF5.2
utg000013c.g180	Q9SSM2.1
utg000013c.g183	Q9FNI8.2
utg000013c.g184	P93285.2
utg000013c.g190	O23617.2
utg000013c.g191	C0SVV6.1
utg000013c.g192	Q8VYF4.1
utg000013c.g193	P92557.1
utg000013c.g194	O05000.2
utg000013c.g198	Q8H1F6.1
utg000013c.g205	P92527.4
utg000013c.g211	Q04613.2
utg000013c.g212	P92522.1
utg000013c.g214	P93312.2
utg000013c.g215	P92549.2
utg000013c.g219	P92549.2
utg000013c.g220	B6SFA4.1
utg000013c.g222	Q9LPW2.2
utg000013c.g223	Q9SB63.2
utg000013c.g224	Q95748.2
utg000013c.g227	Q949P2.1
utg000013c.g230	Q940X9.1
utg000013c.g233	Q9C9H7.2
utg000013c.g236	P56773.1
utg000013c.g239	Q9LV93.1
utg000013c.g241	Q5Q0E6.1
utg000013c.g243	O05000.2
utg000013c.g245	P92558.4
utg000013c.g246	Q9ZR08.3
utg000013c.g247	Q39024.2
utg000013c.g251	P92567.1
utg000013c.g252	O81716.1
utg000013c.g254	Q8L968.1
utg000013c.g256	Q9ZNS2.1
utg000013c.g257	Q0WPF2.1
utg000013c.g260	Q9LSF7.1
utg000013c.g263	P0C2F6.1
utg000013c.g266	Q9LVB8.1
utg000013c.g272	P93292.1
utg000013c.g277	P60620.1
utg000013c.g279	Q93ZI4.1
utg000013c.g281	Q9XED8.1
utg000013c.g286	Q9FKQ2.1
utg000013c.g287	Q9LDU6.1
utg000013c.g290	Q9ZT94.1
utg000013c.g292	O64759.1
utg000013c.g293	P93313.2
utg000013c.g295	Q9FMR9.1
utg000013c.g296	Q9S795.1
utg000013c.g297	Q9M1Q9.2
utg000013c.g298	P94017.2
utg000013c.g299	Q9LE81.1
utg000013c.g300	P0C2F6.1
utg000013c.g301	Q33884.2
utg000013c.g302	Q9T6H8.3
utg000013c.g303	P92523.1
utg000014c.g307	Q8W571.3
utg000014c.g308	Q9SY84.1
utg000014c.g312	Q9FII1.1
utg000016l.g317	P92519.1
utg000016l.g318	Q9SZZ9.1
utg000016l.g324	Q42484.1
utg000016l.g325	Q8RWZ3.1
utg000016l.g326	Q9CAA7.1
utg000018l.g328	O80905.1
utg000018l.g330	Q9ZT94.1
utg000019l.g332	F4IZR5.1
utg000019l.g336	Q9M039.1
utg000019l.g339	Q9C5X3.2
utg000019l.g342	Q93V61.1
utg000019l.g343	Q8H0U8.2
utg000019l.g346	Q9CAH0.1
utg000019l.g347	Q84JX1.1
utg000020l.g348	Q9CAK1.1
utg000021l.g349	Q9SMV7.1
utg000024c.g352	O50008.1
utg000024c.g353	O50008.1
utg000024c.g354	Q940Y1.1
utg000025l.g355	Q94HW2.1
utg000026l.g359	O82394.2
utg000026l.g362	Q84TH5.1
utg000026l.g363	Q6NPR7.1
utg000027c.g366	P92516.1
utg000027c.g368	F4JTS8.1
utg000028c.g369	F4HXZ1.1
utg000028c.g372	O04319.1
utg000029c.g374	Q940G6.1
utg000029c.g375	Q75QN6.1
utg000031l.g379	Q9LV04.1
utg000032l.g386	Q8RWI9.2
utg000035l.g389	Q3EBQ3.1
utg000035l.g391	Q9ZVR7.4
utg000039l.g398	Q3EBY6.1
utg000041l.g400	Q949P2.1
utg000042l.g402	P92935.2
utg000042l.g404	Q9SRV7.1
utg000045l.g410	Q8GYU3.1
utg000045l.g414	P92520.1
utg000045l.g415	Q94HW2.1
utg000046l.g417	Q9FF29.1
utg000046l.g418	Q9M1I1.1
utg000046l.g419	F4JUU5.2
utg000046l.g420	Q9M9G6.1
utg000046l.g421	Q9ZW21.1
utg000047l.g422	Q8L4M6.2
utg000047l.g424	Q9M0C5.1
utg000047l.g425	Q9FL08.1
utg000049l.g427	Q9SVC5.1
utg000051l.g429	Q9FQ04.1
utg000052c.g432	P93748.1
utg000053l.g433	Q0WQW5.2
utg000053l.g435	O49471.2
utg000053l.g438	Q9SRV0.1
utg000053l.g441	Q9LDM5.1
utg000054l.g443	Q9ZT94.1
utg000054l.g445	F4JDI6.1
utg000055l.g450	Q8L8Z1.2
utg000055l.g452	Q9FHM4.1
utg000055l.g453	O80467.1
utg000056c.g455	Q9FYF7.1
utg000060l.g458	Q8VZF1.1
utg000072l.g466	Q9SU40.1
utg000073l.g468	Q9ZUE0.2
utg000073l.g471	Q9M122.1
utg000073l.g472	Q8GYW8.1
utg000076c.g474	Q8GYW8.1
utg000077c.g475	A9QM73.1
utg000081l.g477	A2RVS6.1
utg000085l.g481	O23095.2
utg000086l.g482	O64780.4
utg000086l.g483	Q9SIT5.1
utg000086l.g484	Q9FXE4.2
utg000086l.g485	Q5XEZ8.1
utg000086l.g486	Q9SSW2.1
utg000087c.g489	Q9LRR4.1
utg000087c.g490	Q9LRR4.1
utg000087c.g491	Q9LRR4.1
utg000088l.g492	Q39202.2
utg000088l.g493	P59226.2
