Gene stable ID	Transcript stable ID	GO term accession	GO term name	UniProtKB/Swiss-Prot ID
AT3G49430	AT3G49430.6	GO:0016607	nuclear speck	A2RVS6
AT3G49430	AT3G49430.6	GO:0003676	nucleic acid binding	A2RVS6
AT3G49430	AT3G49430.6	GO:0005634	nucleus	A2RVS6
AT3G49430	AT3G49430.6	GO:0003723	RNA binding	A2RVS6
AT3G49430	AT3G49430.6	GO:0005829	cytosol	A2RVS6
AT3G49430	AT3G49430.6	GO:0003729	mRNA binding	A2RVS6
AT3G49430	AT3G49430.6	GO:0006397	mRNA processing	A2RVS6
AT3G49430	AT3G49430.6	GO:0005730	nucleolus	A2RVS6
AT3G49430	AT3G49430.6	GO:0008380	RNA splicing	A2RVS6
AT3G49430	AT3G49430.6	GO:0005654	nucleoplasm	A2RVS6
AT3G49430	AT3G49430.6	GO:0008380	RNA splicing	A2RVS6
AT3G49430	AT3G49430.6	GO:0005681	spliceosomal complex	A2RVS6
AT3G49430	AT3G49430.6	GO:0005634	nucleus	A2RVS6
AT3G49430	AT3G49430.6	GO:0003723	RNA binding	A2RVS6
AT3G49430	AT3G49430.6	GO:0000381	regulation of alternative mRNA splicing, via spliceosome	A2RVS6
AT3G49430	AT3G49430.6	GO:0016607	nuclear speck	A2RVS6
AT3G49430	AT3G49430.6	GO:0045292	mRNA cis splicing, via spliceosome	A2RVS6
AT3G49430	AT3G49430.3	GO:0016607	nuclear speck	A2RVS6
AT3G49430	AT3G49430.3	GO:0003676	nucleic acid binding	A2RVS6
AT3G49430	AT3G49430.3	GO:0005634	nucleus	A2RVS6
AT3G49430	AT3G49430.3	GO:0003723	RNA binding	A2RVS6
AT3G49430	AT3G49430.3	GO:0005829	cytosol	A2RVS6
AT3G49430	AT3G49430.3	GO:0003729	mRNA binding	A2RVS6
AT3G49430	AT3G49430.3	GO:0006397	mRNA processing	A2RVS6
AT3G49430	AT3G49430.3	GO:0005730	nucleolus	A2RVS6
AT3G49430	AT3G49430.3	GO:0008380	RNA splicing	A2RVS6
AT3G49430	AT3G49430.3	GO:0005654	nucleoplasm	A2RVS6
AT3G49430	AT3G49430.3	GO:0008380	RNA splicing	A2RVS6
AT3G49430	AT3G49430.3	GO:0005681	spliceosomal complex	A2RVS6
AT3G49430	AT3G49430.3	GO:0005634	nucleus	A2RVS6
AT3G49430	AT3G49430.3	GO:0003723	RNA binding	A2RVS6
AT3G49430	AT3G49430.3	GO:0000381	regulation of alternative mRNA splicing, via spliceosome	A2RVS6
AT3G49430	AT3G49430.3	GO:0016607	nuclear speck	A2RVS6
AT3G49430	AT3G49430.3	GO:0045292	mRNA cis splicing, via spliceosome	A2RVS6
AT3G49430	AT3G49430.1	GO:0016607	nuclear speck	A2RVS6
AT3G49430	AT3G49430.1	GO:0003676	nucleic acid binding	A2RVS6
AT3G49430	AT3G49430.1	GO:0005634	nucleus	A2RVS6
AT3G49430	AT3G49430.1	GO:0003723	RNA binding	A2RVS6
AT3G49430	AT3G49430.1	GO:0005829	cytosol	A2RVS6
AT3G49430	AT3G49430.1	GO:0003729	mRNA binding	A2RVS6
AT3G49430	AT3G49430.1	GO:0006397	mRNA processing	A2RVS6
AT3G49430	AT3G49430.1	GO:0005730	nucleolus	A2RVS6
AT3G49430	AT3G49430.1	GO:0008380	RNA splicing	A2RVS6
AT3G49430	AT3G49430.1	GO:0005654	nucleoplasm	A2RVS6
AT3G49430	AT3G49430.1	GO:0008380	RNA splicing	A2RVS6
AT3G49430	AT3G49430.1	GO:0005681	spliceosomal complex	A2RVS6
AT3G49430	AT3G49430.1	GO:0005634	nucleus	A2RVS6
AT3G49430	AT3G49430.1	GO:0003723	RNA binding	A2RVS6
AT3G49430	AT3G49430.1	GO:0000381	regulation of alternative mRNA splicing, via spliceosome	A2RVS6
AT3G49430	AT3G49430.1	GO:0016607	nuclear speck	A2RVS6
AT3G49430	AT3G49430.1	GO:0045292	mRNA cis splicing, via spliceosome	A2RVS6
AT3G49430	AT3G49430.7	GO:0016607	nuclear speck	A2RVS6
AT3G49430	AT3G49430.7	GO:0003676	nucleic acid binding	A2RVS6
AT3G49430	AT3G49430.7	GO:0005634	nucleus	A2RVS6
AT3G49430	AT3G49430.7	GO:0003723	RNA binding	A2RVS6
AT3G49430	AT3G49430.7	GO:0005829	cytosol	A2RVS6
AT3G49430	AT3G49430.7	GO:0003729	mRNA binding	A2RVS6
AT3G49430	AT3G49430.7	GO:0006397	mRNA processing	A2RVS6
AT3G49430	AT3G49430.7	GO:0005730	nucleolus	A2RVS6
AT3G49430	AT3G49430.7	GO:0008380	RNA splicing	A2RVS6
AT3G49430	AT3G49430.7	GO:0005654	nucleoplasm	A2RVS6
AT3G49430	AT3G49430.7	GO:0008380	RNA splicing	A2RVS6
AT3G49430	AT3G49430.7	GO:0005681	spliceosomal complex	A2RVS6
AT3G49430	AT3G49430.7	GO:0005634	nucleus	A2RVS6
AT3G49430	AT3G49430.7	GO:0003723	RNA binding	A2RVS6
AT3G49430	AT3G49430.7	GO:0000381	regulation of alternative mRNA splicing, via spliceosome	A2RVS6
