Query ID	 Blast best match ID
utg000001l.g1	NP_051099.1
utg000001l.g2	NP_051101.1
utg000001l.g3	NP_001319036.1
utg000001l.g4	NP_568404.1
utg000001l.g5	NP_001190085.1
utg000001l.g6	NP_001319155.1
utg000001l.g8	NP_201162.1
utg000001l.g11	NP_001332055.1
utg000001l.g14	NP_175752.1
utg000001l.g15	NP_568404.1
utg000001l.g16	NP_051101.1
utg000001l.g18	NP_051101.1
utg000001l.g19	NP_051084.1
utg000001l.g20	NP_051084.1
utg000001l.g21	NP_051076.1
utg000001l.g22	NP_051072.1
utg000001l.g23	NP_051068.1
utg000001l.g24	NP_051067.1
utg000001l.g25	NP_051066.1
utg000001l.g26	NP_051058.1
utg000001l.g27	NP_051055.1
utg000001l.g28	NP_051054.1
utg000001l.g29	NP_051051.1
utg000001l.g30	NP_051049.1
utg000001l.g31	NP_051048.1
utg000001l.g32	NP_051044.1
utg000001l.g33	NP_051039.1
utg000001l.g34	NP_051099.1
utg000001l.g35	NP_051101.1
utg000001l.g36	NP_051101.1
utg000001l.g37	NP_567417.1
utg000002l.g40	NP_194436.2
utg000002l.g41	NP_194436.2
utg000002l.g42	NP_178150.1
utg000002l.g45	NP_188264.1
utg000002l.g46	NP_176217.2
utg000002l.g49	NP_182151.1
utg000002l.g51	NP_200457.1
utg000002l.g52	NP_188451.1
utg000002l.g56	NP_188451.1
utg000002l.g57	NP_177505.1
utg000003l.g58	NP_027726.1
utg000003l.g59	NP_175544.1
utg000003l.g60	NP_565129.1
utg000004c.g61	NP_564057.4
utg000004c.g63	NP_177509.1
utg000004c.g66	NP_001328002.1
utg000005l.g68	NP_195371.1
utg000005l.g69	NP_001328700.1
utg000005l.g71	NP_197668.2
utg000008l.g78	NP_001154395.1
utg000008l.g82	NP_196702.1
utg000008l.g86	NP_178199.1
utg000009l.g90	NP_177505.1
utg000012l.g100	NP_178298.2
utg000013c.g101	NP_201143.1
utg000013c.g105	NP_201115.1
utg000013c.g106	YP_009472101.2
utg000013c.g108	YP_009472118.2
utg000013c.g110	YP_009472118.2
utg000013c.g112	NP_001324406.1
utg000013c.g113	NP_001078201.1
utg000013c.g115	NP_171612.1
utg000013c.g116	NP_001078087.1
utg000013c.g120	YP_009472116.2
utg000013c.g123	NP_171860.1
utg000013c.g124	NP_001325084.1
utg000013c.g125	YP_009472100.2
utg000013c.g126	YP_009472101.2
utg000013c.g127	YP_009472113.2
utg000013c.g129	YP_009472113.2
utg000013c.g130	NP_178792.3
utg000013c.g133	NP_001328700.1
utg000013c.g135	NP_001190117.1
utg000013c.g136	NP_187749.1
utg000013c.g140	NP_178773.1
utg000013c.g141	NP_566257.1
utg000013c.g142	NP_051066.1
utg000013c.g143	NP_178803.1
utg000013c.g150	NP_001321540.1
utg000013c.g152	NP_172500.1
utg000013c.g154	NP_197031.3
utg000013c.g155	NP_174804.4
utg000013c.g157	NP_001032055.1
utg000013c.g159	NP_195548.6
utg000013c.g161	NP_568646.1
utg000013c.g162	NP_001318515.1
utg000013c.g163	YP_009472117.2
utg000013c.g165	NP_001328700.1
utg000013c.g167	NP_001328700.1
utg000013c.g168	NP_190064.1
utg000013c.g169	NP_174726.1
utg000013c.g170	NP_196731.2
utg000013c.g171	NP_001031841.1
utg000013c.g172	YP_009472097.2
utg000013c.g173	NP_001320124.1
utg000013c.g174	NP_001326964.1
utg000013c.g177	YP_009472104.2
utg000013c.g179	NP_193874.2
utg000013c.g180	NP_177448.1
utg000013c.g183	NP_001331118.1
utg000013c.g184	YP_009472098.2
utg000013c.g190	NP_001329809.1
utg000013c.g191	NP_001318865.1
utg000013c.g192	NP_191825.2
utg000013c.g193	NP_178787.1
utg000013c.g194	NP_671807.1
utg000013c.g198	NP_192188.2
utg000013c.g205	NP_188751.1
utg000013c.g207	NP_973435.1
utg000013c.g211	YP_009472129.2
utg000013c.g212	YP_009472115.2
utg000013c.g215	YP_009472105.2
utg000013c.g219	YP_009472105.2
utg000013c.g220	NP_001329005.1
utg000013c.g222	NP_001329060.1
utg000013c.g224	NP_200039.1
utg000013c.g226	YP_009472102.2
utg000013c.g227	NP_568232.1
utg000013c.g230	NP_175080.2
utg000013c.g233	NP_177296.2
utg000013c.g236	NP_001189516.1
utg000013c.g237	NP_051088.1
utg000013c.g239	NP_201289.1
utg000013c.g241	YP_009472107.2
utg000013c.g245	YP_009472104.2
utg000013c.g246	NP_001332009.1
utg000013c.g247	NP_192443.1
utg000013c.g251	NP_671802.2
utg000013c.g252	NP_001324497.1
utg000013c.g254	NP_001319858.1
utg000013c.g257	NP_566032.1
utg000013c.g259	NP_680598.2
utg000013c.g260	NP_194638.1
utg000013c.g266	NP_180014.2
utg000013c.g267	NP_193785.1
utg000013c.g269	NP_201024.1
utg000013c.g272	NP_001154505.1
